coddis,ano,turmas,pfx,matr,semestre,unidade
0303541,2020,1,030,74,1,EP
0303542,2018,1,030,13,1,EP
0303542,2019,1,030,33,1,EP
0303542,2020,1,030,30,1,EP
0303543,2018,1,030,9,1,EP
0303543,2019,1,030,14,1,EP
0303543,2020,1,030,24,1,EP
0303544,2018,1,030,18,2,EP
0303544,2019,1,030,40,2,EP
0303544,2020,1,030,58,2,EP
0303545,2018,2,030,13,2,EP
0303545,2019,1,030,25,2,EP
0303545,2020,1,030,29,2,EP
0303546,2018,2,030,12,2,EP
0303546,2019,1,030,16,2,EP
0303546,2020,1,030,22,2,EP
0303602,2018,2,030,18,1,EP
0303602,2020,2,030,27,1,EP
0303603,2019,2,030,7,2,EP
0305000,2016,2,030,9,ambos,EP
0305000,2017,2,030,28,ambos,EP
0305000,2018,2,030,16,ambos,EP
0305000,2019,3,030,17,ambos,EP
0305000,2020,3,030,3,ambos,EP
0313101,2014,5,031,181,1,EP
0313101,2015,5,031,183,1,EP
0313101,2016,4,031,142,1,EP
0313101,2017,4,031,141,1,EP
0313101,2018,4,031,142,1,EP
0313101,2019,4,031,136,1,EP
0313101,2020,3,031,134,1,EP
0313102,2014,4,031,179,2,EP
0313102,2015,4,031,190,2,EP
0313102,2016,5,031,207,2,EP
0313102,2017,5,031,211,2,EP
0313102,2018,6,031,198,2,EP
0313102,2019,5,031,210,2,EP
0313102,2020,5,031,224,2,EP
0313113,2016,1,031,14,2,EP
0313311,2018,2,031,53,ambos,EP
0313311,2019,2,031,11,ambos,EP
0313311,2020,2,031,13,ambos,EP
0313312,2018,2,031,42,ambos,EP
0313312,2019,2,031,10,ambos,EP
0313312,2020,2,031,11,ambos,EP
0313401,2017,5,031,81,ambos,EP
0313401,2018,5,031,106,ambos,EP
0313401,2019,6,031,116,ambos,EP
0313401,2020,6,031,156,ambos,EP
0313501,2018,2,031,13,ambos,EP
0313501,2019,2,031,34,ambos,EP
0313501,2020,2,031,124,ambos,EP
0313502,2018,1,031,3,2,EP
0313502,2019,2,031,36,ambos,EP
