id	codclg	sglclg	codund
1477	3691	CoDepto	18
1478	3692	CoDepto	93
1479	3829	CoDepto	88
1480	3830	CoDepto	88
1481	3831	CoDepto	88
1482	3832	CoDepto	88
1483	3833	CoDepto	74
1484	3834	CoDepto	74
1485	3882	CoDepto	58
1486	3883	CoDepto	58
1487	13	CoGeC	13
1488	19	CoGeC	19
1489	95	CoC	3
1490	52	CoGeC	52
1491	53	CoGeC	53
1492	82	CoGeC	82
1493	92	CoGeC	92
1494	10	CoHosp	10
1495	11	CoHosp	10
1496	12	CoHosp	10
1497	32	ComTA	32
1498	33	ComTA	33
1499	38	ComTA	38
1500	71	ComTA	71
1501	1	CoRInt	1
1502	69	CoSuperv	69
1503	2	CP	1
1504	3	CP	1
1505	4	CP	1
1506	5	CP	89
1507	51	CPG	51
1508	84	CPG	1
1509	90	CPG	4
1510	109	CPG	90
1511	1	CPq	1
1512	2	CRInt	2
1513	3	CRInt	3
1514	4	CRInt	4
1515	5	CRInt	5
1516	6	CRInt	6
1517	7	CRInt	7
1518	8	CRInt	8
1519	9	CRInt	9
1520	10	CRInt	10
1521	49	CoGeC	49
1522	11	CRInt	11
1523	12	CRInt	12
1524	14	CRInt	14
1525	16	CRInt	16
1526	17	CRInt	17
1527	18	CRInt	18
1528	21	CRInt	21
1529	22	CRInt	22
1530	23	CRInt	23
1531	25	CRInt	25
1532	27	CRInt	27
1533	31	CRInt	31
1534	39	CRInt	39
1535	41	CRInt	41
1536	42	CRInt	42
1537	43	CRInt	43
1538	44	CRInt	44
1539	45	CRInt	45
1540	46	CRInt	46
1541	47	CRInt	47
1542	48	CRInt	48
1543	53	CRInt	53
1544	55	CRInt	55
1545	58	CRInt	58
1546	59	CRInt	59
1547	60	CRInt	60
1548	61	CRInt	61
1549	64	CRInt	64
1550	74	CRInt	74
1551	75	CRInt	75
1552	76	CRInt	76
1553	81	CRInt	81
1554	86	CRInt	86
1555	87	CRInt	87
1556	88	CRInt	88
1557	89	CRInt	89
1558	90	CRInt	90
1559	93	CRInt	93
1560	27	EFM	27
1561	48	EFM	48
1562	88	EFM	88
1563	2	GT	1
1564	3	GT	62
1565	4	GT	55
1566	1	INCT	5
1567	2	INCT	14
1568	3	INCT	41
1569	4	INCT	76
1570	5	INCT	17
1571	6	INCT	41
1572	7	INCT	76
1573	8	INCT	11
1574	9	INCT	3
1575	10	INCT	43
1576	11	INCT	5
1577	12	INCT	76
1578	13	INCT	46
1579	14	INCT	5
1580	15	INCT	11
1581	16	INCT	55
1582	17	INCT	44
1583	18	INCT	8
1584	1	LAB	16
1585	2	LAB	16
1586	3	LAB	41
1587	4	LAB	9
1588	5	LAB	74
1589	7	LAB	9
1590	8	LAB	60
1591	9	LAB	9
1592	10	LAB	60
1593	11	LAB	3
1594	12	LAB	3
1595	13	LAB	17
1596	14	LAB	74
1597	15	LAB	17
1598	16	LAB	74
1599	17	LAB	8
1600	18	LAB	74
1601	19	LAB	74
1602	20	LAB	17
1603	24	LAB	74
1604	26	LAB	16
1605	27	LAB	59
1606	34	LAB	17
1607	35	LAB	23
1608	36	LAB	17
1609	40	LAB	3
1610	48	LAB	17
1611	49	LAB	17
1612	51	LAB	17
1613	52	LAB	17
1614	53	LAB	17
1615	61	LAB	16
1616	64	LAB	59
1617	67	LAB	3
1618	69	LAB	3
1619	65	NACE	1
1620	1	NAP	3
1621	72	NACE	59
1622	4	NAP	44
1623	5	NAP	5
1624	10	NAP	8
1625	13	NAP	8
1626	16	NAP	23
1627	17	NAP	11
1628	81	CoDeptoc	81
1629	9301	CCP	32
1630	88	CoDeptoc	88
1631	40	NAP	1
1632	42	NAP	5
1633	21	LAB	74
1634	22	LAB	3
1635	23	LAB	74
1636	31	LAB	17
1637	32	LAB	17
1638	33	LAB	74
1639	39	LAB	48
1640	42	LAB	17
1641	43	LAB	74
1642	45	LAB	17
1643	46	LAB	17
1644	54	LAB	17
1645	55	LAB	17
1646	58	LAB	48
1647	59	LAB	58
1648	62	LAB	16
1649	63	LAB	16
1650	65	LAB	3
1651	68	LAB	3
1652	71	LAB	17
1653	72	LAB	23
1654	73	LAB	17
1655	77	LAB	6
1656	89	CoDeptoc	89
1657	67	NACE	5
1658	1727	CCP	17
1659	66	NAP	41
1660	1813	CCP	18
1661	68	NAP	17
1662	2931	CoDelib	1
1663	1728	CCP	17
1664	90	CCPAE	90
1665	12	NAP	11
1666	100	NAP	87
1667	29	NAP	8
1668	165	NAP	75
1669	84	NAP	44
1670	85	NAP	14
1671	39	NAP	6
1672	41	NAP	11
1673	43	NAP	1
1674	48	NAP	6
1675	49	NAP	12
1676	51	NAP	46
1677	53	NAP	47
1678	65	NAP	42
1679	9601	CCP	81
1680	69	NAP	27
1681	70	NAP	5
1682	95	CPG	5
1683	3475	CoDelib	1
1684	37	CGen	64
1685	9	CEUA	9
1686	9	CCPAE	9
1687	123	NAP	6
1688	34	CGen	9
1689	17157	CCP	17
1690	68	NACE	12
1691	4107	CoDepto	17
1692	134	NAP	27
1693	74	CoC	42
1694	71	CoC	25
1695	146	NAP	5
1696	150	NAP	16
1697	75	CoC	42
1698	152	NAP	17
1699	154	NAP	45
1700	36	CGen	1
1701	28	CGen	17
1702	159	NAP	42
1703	72	CoC	25
1704	81	NAP	8
1705	78	LAB	17
1706	81	CoC	88
1707	74	CEUA	74
1708	1601	CCP	16
1709	169	NAP	60
1710	1602	CCP	16
1711	3280	CoDelib	1
1712	2944	CoDelib	1
1713	187	NAP	43
1714	5911	CCP	59
1715	1122	CCP	11
1716	69	NACE	6
1717	191	NAP	59
1718	71	NACE	1
1719	9602	CCP	81
1720	9603	CCP	81
1721	73	NACE	58
1722	4138	CoDepto	17
1723	71	CIPA	71
1724	77	NACE	12
1725	201	CCP	2
1726	215	NAP	43
1727	218	NAP	76
1728	88	NAP	11
1729	1	CoInovaUSP	1
1730	2	CoInovaUSP	1
1731	2	CoAUSPIN	1
1732	228	NAP	48
1733	89	NAP	55
1734	92	NAP	14
1735	242	NAP	17
1736	246	NAP	3
1737	248	NAP	23
1738	95	NAP	76
1739	262	NAP	47
1740	97	NAP	55
1741	1	ProgAcad	1
1742	2	ProgAcad	7
1743	3	ProgAcad	7
1744	4	ProgAcad	7
1745	5	ProgAcad	22
1746	1	ProgAdm	7
1747	1	TeD	7
1748	99	NAP	5
1749	193	NAP	41
1750	195	NAP	9
1751	202	NAP	17
1752	205	NAP	5
1753	210	NAP	58
1754	213	NAP	43
1755	217	NAP	59
1756	220	NAP	48
1757	224	NAP	14
1758	225	NAP	55
1759	227	NAP	76
1760	59	CoC	27
1761	62	CoC	27
1762	63	CoC	27
1763	231	NAP	5
1764	232	NAP	5
1765	233	NAP	48
1766	236	NAP	8
1767	240	NAP	21
1768	258	NAP	9
1769	265	NAP	8
1770	266	NAP	11
1771	274	NAP	46
1772	275	NAP	23
1773	278	NAP	3
1774	279	NAP	8
1775	17	CDH	17
1776	84	CoDelib	1
1777	23	CIPA	23
1778	281	NAP	41
1779	290	NAP	22
1780	283	NAP	86
1781	285	NAP	12
1782	287	NAP	37
1783	33	CGen	9
1784	9	CBib	9
1785	9	CEP	9
1786	35	CGen	17
1787	76	CoC	6
1788	82	CoC	88
1789	84	CoC	88
1790	288	NAP	3
1791	100	CG	9
1792	101	CG	46
1793	102	CG	6
1794	289	NAP	87
1795	25	CEUA	25
1796	291	NAP	17
1797	23	CGen	1
1798	51	CGen	5
1799	90	CEP	90
